,player,age,nationality,position,selling_club,previous_league,est_market_value,fee,buying_club,window,year,buying_league
19,Shaka Mawuli,21,Ghana,Central Midfield,US Catanzaro,Italy,£180Th.,"End of loanJun 30, 2019",SPAL,s_w=s,2019,IT1
20,Alessandro Bellemo,23,Italy,Central Midfield,FC Pro Vercelli 1892,Italy,£135Th.,"End of loanJun 30, 2019",SPAL,s_w=s,2019,IT1
21,Bartosz Salamon,28,Poland,Centre-Back,Frosinone Calcio,Italy,£720Th.,"End of loanJun 30, 2019",SPAL,s_w=s,2019,IT1
22,Michele Cremonesi,31,Italy,Centre-Back,AC Perugia Calcio,Italy,£360Th.,"End of loanJun 30, 2019",SPAL,s_w=s,2019,IT1
23,Sauli Väisänen,25,Finland,Centre-Back,FC Crotone,Italy,£540Th.,"End of loanJun 30, 2019",SPAL,s_w=s,2019,IT1
24,Demba Thiam,21,Senegal,Goalkeeper,AS Viterbese Castrense,Italy,£90Th.,"End of loanJun 30, 2019",SPAL,s_w=s,2019,IT1
25,Salvatore Esposito,18,Italy,Defensive Midfield,Ravenna FC,Italy,£270Th.,"End of loanJun 30, 2019",SPAL,s_w=s,2019,IT1
26,Mattia Vitale,21,Italy,Central Midfield,Carpi FC 1909,Italy,£360Th.,"End of loanJun 30, 2019",SPAL,s_w=s,2019,IT1
27,Riccardo Mastrilli,22,Italy,Left-Back,AS Bisceglie 1913,Italy,£90Th.,"End of loanJun 30, 2019",SPAL,s_w=s,2019,IT1
28,Federico Viviani,27,Italy,Defensive Midfield,Frosinone Calcio,Italy,£2.70m,"End of loanJun 30, 2019",SPAL,s_w=s,2019,IT1
29,Maurice Gomis,21,Senegal,Goalkeeper,FK Kukësi,Albania,£45Th.,"End of loanJun 30, 2019",SPAL,s_w=s,2019,IT1
30,Gabriele Moncini,23,Italy,Centre-Forward,AS Cittadella,Italy,£1.80m,"End of loanJun 30, 2019",SPAL,s_w=s,2019,IT1
0,Simone Zaza,28,Italy,Centre-Forward,Valencia CF,Spain,£9.00m,£10.80m,Torino FC,s_w=s,2019,IT1
1,Ola Aina,22,Nigeria,Right-Back,Chelsea FC,England,£9.00m,£8.82m,Torino FC,s_w=s,2019,IT1
2,Koffi Djidji,26,Cote d'Ivoire,Centre-Back,FC Nantes,France,£4.50m,£2.70m,Torino FC,s_w=s,2019,IT1
3,Cristian Ansaldi,32,Argentina,Left-Back,Inter Milan,Italy,£4.50m,£2.25m,Torino FC,s_w=s,2019,IT1
4,Diego Laxalt,26,Uruguay,Left-Back,AC Milan,Italy,£10.80m,Loan fee:£450Th.,Torino FC,s_w=s,2019,IT1
5,Samir Ujkani,31,Kosovo,Goalkeeper,Caykur Rizespor U21,Turkey,£180Th.,free transfer,Torino FC,s_w=s,2019,IT1
6,Simone Verdi,27,Italy,Attacking Midfield,SSC Napoli,Italy,£20.70m,loan transfer,Torino FC,s_w=s,2019,IT1
7,Wilfried Singo,18,Cote d'Ivoire,Right-Back,Torino Primavera,Italy,£113Th.,-,Torino FC,s_w=s,2019,IT1
8,Vincenzo Millico,18,Italy,Left Winger,Torino Primavera,Italy,£900Th.,-,Torino FC,s_w=s,2019,IT1
9,Kevin Bonifazi,23,Italy,Centre-Back,SPAL,Italy,£4.95m,"End of loanJun 30, 2019",Torino FC,s_w=s,2019,IT1
10,Davide Drovetti,20,Italy,Central Midfield,US Folgore Caratese,Italy,£68Th.,"End of loanJun 30, 2019",Torino FC,s_w=s,2019,IT1
11,Alessandro Buongiorno,20,Italy,Centre-Back,Carpi FC 1909,Italy,£450Th.,"End of loanJun 30, 2019",Torino FC,s_w=s,2019,IT1
12,Alessandro Fiordaliso,20,Italy,Right-Back,Teramo Calcio 1913,Italy,£180Th.,"End of loanJun 30, 2019",Torino FC,s_w=s,2019,IT1
13,M'Baye Niang,24,Senegal,Centre-Forward,Stade Rennais FC,France,£10.80m,"End of loanJun 30, 2019",Torino FC,s_w=s,2019,IT1
14,Adem Ljajic,27,Serbia,Attacking Midfield,Besiktas JK,Turkey,£10.80m,"End of loanJun 30, 2019",Torino FC,s_w=s,2019,IT1
15,Emanuele Valerio,20,Italy,Left-Back,SEF Torres 1903,Italy,-,"End of loanJun 30, 2019",Torino FC,s_w=s,2019,IT1
16,Matteo Procopio,22,Italy,Left-Back,Urbs Reggina 1914 ,Italy,£90Th.,"End of loanJun 30, 2019",Torino FC,s_w=s,2019,IT1
17,Vanja Milinković-Savić,22,Serbia,Goalkeeper,Ascoli Calcio,Italy,£1.08m,"End of loanJun 30, 2019",Torino FC,s_w=s,2019,IT1
18,Simone Edera,22,Italy,Right Winger,Bologna FC 1909,Italy,£900Th.,"End of loanJun 30, 2019",Torino FC,s_w=s,2019,IT1
19,Lyanco,22,Brazil,Centre-Back,Bologna FC 1909,Italy,£7.20m,"End of loanJun 30, 2019",Torino FC,s_w=s,2019,IT1
20,Andrea Zaccagno,22,Italy,Goalkeeper,US Vibonese,Italy,£428Th.,"End of loanJun 30, 2019",Torino FC,s_w=s,2019,IT1
21,Karlo Butic,20,Croatia,Centre-Forward,SS Arezzo,Italy,£180Th.,"End of loanJun 30, 2019",Torino FC,s_w=s,2019,IT1
22,Lorenzo Carissoni,22,Italy,Right-Back,Carrarese Calcio 1908,Italy,£90Th.,"End of loanJun 30, 2019",Torino FC,s_w=s,2019,IT1
23,Manuel De Luca,20,Italy,Centre-Forward,US Alessandria Calcio 1912,Italy,£225Th.,"End of loanJun 30, 2019",Torino FC,s_w=s,2019,IT1
24,Tommaso Cucchietti,21,Italy,Goalkeeper,US Alessandria Calcio 1912,Italy,£203Th.,"End of loanJun 30, 2019",Torino FC,s_w=s,2019,IT1
25,Carlão,33,Brazil,Centre-Back,APOEL Nicosia,Cyprus,£450Th.,"End of loanJun 30, 2019",Torino FC,s_w=s,2019,IT1
26,Danilo Avelar,30,Brazil,Centre-Back,Sport Club Corinthians Paulista,Brazil,£1.35m,"End of loanJun 30, 2019",Torino FC,s_w=s,2019,IT1
27,Jacopo Segre,22,Italy,Central Midfield,Venezia FC,Italy,£450Th.,"End of loanJun 30, 2019",Torino FC,s_w=s,2019,IT1
28,Samuel Gustafson,24,Sweden,Central Midfield,Hellas Verona,Italy,£900Th.,"End of loanJun 30, 2019",Torino FC,s_w=s,2019,IT1
29,Filippo Berardi,22,San Marino,Right Winger,SS Monopoli 1966,Italy,£113Th.,"End of loanJun 30, 2019",Torino FC,s_w=s,2019,IT1
30,Antonio D'Alena,21,Italy,Defensive Midfield,AC Renate,Italy,£68Th.,"End of loanJun 30, 2019",Torino FC,s_w=s,2019,IT1
31,Gianluca Piccoli,22,Italy,Central Midfield,AS Giana Erminio,Italy,£90Th.,"End of loanJun 30, 2019",Torino FC,s_w=s,2019,IT1
32,Lucas Boyé,23,Argentina,Centre-Forward,AEK Athens,Greece,£1.35m,"End of loanJun 30, 2019",Torino FC,s_w=s,2019,IT1
33,Shady Oukhadda,20,Morocco,Central Midfield,Albissola 2010,Italy,£90Th.,"End of loanJun 30, 2019",Torino FC,s_w=s,2019,IT1
34,Matteo Rossetti,20,Italy,Central Midfield,AC Renate,Italy,£90Th.,"End of loanJun 30, 2019",Torino FC,s_w=s,2019,IT1
35,Federico Giraudo,20,Italy,Left-Back,Ternana Calcio,Italy,£135Th.,"End of loanJun 30, 2019",Torino FC,s_w=s,2019,IT1
36,Alessandro Zanellati,19,Italy,Goalkeeper,AC Rezzato,Italy,£68Th.,"End of loanJun 30, 2019",Torino FC,s_w=s,2019,IT1
37,Alberto Savini,20,Italy,Goalkeeper,US Savoia 1908,Italy,£68Th.,"End of loanJun 30, 2019",Torino FC,s_w=s,2019,IT1
0,Walace,24,Brazil,Defensive Midfield,Hannover 96,Germany,£7.65m,£5.40m,Udinese Calcio,s_w=s,2019,IT1
1,Rodrigo Becão,23,Brazil,Centre-Back,Esporte Clube Bahia,Brazil,£6.30m,£1.44m,Udinese Calcio,s_w=s,2019,IT1
2,Cristo,21,Spain,Centre-Forward,Real Madrid Castilla,Spain,£4.50m,£1.35m,Udinese Calcio,s_w=s,2019,IT1
3,Sebastien De Maio,32,France,Centre-Back,Bologna FC 1909,Italy,£900Th.,£1.35m,Udinese Calcio,s_w=s,2019,IT1
4,Mato Jajalo,31,Bosnia-Herzegovina,Defensive Midfield,Palermo FC,Italy,£900Th.,free transfer,Udinese Calcio,s_w=s,2019,IT1
5,Ilija Nestorovski,29,North Macedonia,Centre-Forward,Palermo FC,Italy,£3.60m,free transfer,Udinese Calcio,s_w=s,2019,IT1
6,Ken Sema,25,Sweden,Left Midfield,Watford FC,England,£3.15m,loan transfer,Udinese Calcio,s_w=s,2019,IT1
7,Stefano Okaka,30,Italy,Centre-Forward,Watford FC,England,£4.50m,?,Udinese Calcio,s_w=s,2019,IT1
8,Nícolas,31,Brazil,Goalkeeper,Hellas Verona,Italy,£630Th.,?,Udinese Calcio,s_w=s,2019,IT1
9,Marco Ballarini,19,Italy,Central Midfield,Udinese Primavera,Italy,-,-,Udinese Calcio,s_w=s,2019,IT1
10,Gabriele Angella,30,Italy,Centre-Back,RSC Charleroi,Belgium,£900Th.,"End of loanJun 30, 2019",Udinese Calcio,s_w=s,2019,IT1
11,Ali Adnan,25,Iraq,Left-Back,Vancouver Whitecaps FC,United States,£1.44m,"End of loanJun 30, 2019",Udinese Calcio,s_w=s,2019,IT1
12,Molla Wagué,28,Mali,Centre-Back,Nottingham Forest,England,£900Th.,"End of loanJun 30, 2019",Udinese Calcio,s_w=s,2019,IT1
13,Gaspar Iñíguez,25,Argentina,Central Midfield,Ascoli Calcio,Italy,£135Th.,"End of loanJun 30, 2019",Udinese Calcio,s_w=s,2019,IT1
14,Darwin Machís,26,Venezuela,Left Winger,Cádiz CF,Spain,£2.70m,"End of loanJun 30, 2019",Udinese Calcio,s_w=s,2019,IT1
15,Stipe Perica,23,Croatia,Centre-Forward,Kasimpasa,Turkey,£900Th.,"End of loanJun 30, 2019",Udinese Calcio,s_w=s,2019,IT1
16,Andrija Balic,21,Croatia,Central Midfield,Fortuna Sittard,Netherlands,£1.80m,"End of loanJun 30, 2019",Udinese Calcio,s_w=s,2019,IT1
17,Mamadou Coulibaly,20,Senegal,Central Midfield,Carpi FC 1909,Italy,£1.80m,"End of loanJun 30, 2019",Udinese Calcio,s_w=s,2019,IT1
18,Giuseppe Pezzella,21,Italy,Left-Back,Genoa CFC,Italy,£2.70m,"End of loanJun 30, 2019",Udinese Calcio,s_w=s,2019,IT1
19,Aly Malle,21,Mali,Right Winger,Grasshopper Club Zurich,Switzerland,£360Th.,"End of loanJun 30, 2019",Udinese Calcio,s_w=s,2019,IT1
20,Simone Scuffet,23,Italy,Goalkeeper,Kasimpasa,Turkey,£1.58m,"End of loanJun 30, 2019",Udinese Calcio,s_w=s,2019,IT1
21,Francisco Sierralta,22,Chile,Centre-Back,Parma Calcio 1913,Italy,£360Th.,"End of loanJun 30, 2019",Udinese Calcio,s_w=s,2019,IT1
22,Danilo,35,Brazil,Centre-Back,Bologna FC 1909,Italy,£720Th.,"End of loanJun 30, 2019",Udinese Calcio,s_w=s,2019,IT1
23,Emanuele Rovini,24,Italy,Centre-Forward,US Pistoiese 1921,Italy,£225Th.,"End of loanJun 30, 2019",Udinese Calcio,s_w=s,2019,IT1
24,Orestis Karnezis,33,Greece,Goalkeeper,SSC Napoli,Italy,£1.35m,"End of loanJun 30, 2019",Udinese Calcio,s_w=s,2019,IT1
25,Alex Meret,22,Italy,Goalkeeper,SSC Napoli,Italy,£22.50m,"End of loanJun 30, 2019",Udinese Calcio,s_w=s,2019,IT1
26,Jakub Jankto,23,Czech Republic,Central Midfield,UC Sampdoria,Italy,£10.80m,"End of loanJun 30, 2019",Udinese Calcio,s_w=s,2019,IT1
27,Mauro Coppolaro,22,Italy,Centre-Back,Venezia FC,Italy,£630Th.,"End of loanJun 30, 2019",Udinese Calcio,s_w=s,2019,IT1
28,Riad Bajić,25,Bosnia-Herzegovina,Centre-Forward,Istanbul Basaksehir FK,Turkey,£2.70m,"End of loanJun 30, 2019",Udinese Calcio,s_w=s,2019,IT1
29,Pawel Bochniewicz,23,Poland,Centre-Back,Górnik Zabrze,Poland,£450Th.,"End of loanJun 30, 2019",Udinese Calcio,s_w=s,2019,IT1
30,Ryder Matos,26,Brazil,Second Striker,Hellas Verona,Italy,£1.35m,"End of loanJun 30, 2019",Udinese Calcio,s_w=s,2019,IT1
0,Fabio Depaoli,23,Italy,Right-Back,UC Sampdoria,Italy,£4.05m,Loan fee:£540Th.,Atalanta BC,s_w=w,2020,IT1
0,Orji Okwonkwo,22,Nigeria,Right Winger,Montreal Impact,United States,£810Th.,"End of loanDec 31, 2020",Bologna FC 1909,s_w=w,2020,IT1
0,Adam Ounas,23,Algeria,Right Winger,SSC Napoli,Italy,£7.20m,loan transfer,Cagliari Calcio,s_w=w,2020,IT1
0,Jacopo Petriccione,25,Italy,Defensive Midfield,US Lecce,Italy,£2.70m,£1.35m,FC Crotone,s_w=w,2020,IT1
1,Sebastiano Luperto,24,Italy,Centre-Back,SSC Napoli,Italy,£3.15m,Loan fee:£450Th.,FC Crotone,s_w=w,2020,IT1
2,Giovanni Bruzzaniti,20,Italy,Left Winger,FC Pro Vercelli 1892,Italy,£45Th.,?,FC Crotone,s_w=w,2020,IT1
3,Koffi Djidji,27,Cote d'Ivoire,Centre-Back,Torino FC,Italy,£2.70m,loan transfer,FC Crotone,s_w=w,2020,IT1
4,Luca Siligardi,32,Italy,Right Winger,Parma Calcio 1913,Italy,£450Th.,loan transfer,FC Crotone,s_w=w,2020,IT1
0,Lucas Martínez Quarta,24,Argentina,Centre-Back,Club Atlético River Plate,Argentina,£9.00m,£5.40m,ACF Fiorentina,s_w=w,2020,IT1
1,José Callejón,33,Spain,Right Winger,SSC Napoli,Italy,£6.75m,free transfer,ACF Fiorentina,s_w=w,2020,IT1
2,Antonio Barreca,25,Italy,Left-Back,AS Monaco,France,£2.70m,loan transfer,ACF Fiorentina,s_w=w,2020,IT1
3,Pedro,23,Brazil,Centre-Forward,Clube de Regatas do Flamengo,Brazil,£10.80m,"End of loanDec 31, 2020",ACF Fiorentina,s_w=w,2020,IT1
4,Maximiliano Olivera,28,Uruguay,Left-Back,FC Juárez,Mexico,£720Th.,"End of loanDec 31, 2020",ACF Fiorentina,s_w=w,2020,IT1
0,Eldor Shomurodov,25,Uzbekistan,Centre-Forward,FK Rostov,Russia,£5.85m,£6.75m,Genoa CFC,s_w=w,2020,IT1
1,Gianluca Scamacca,21,Italy,Centre-Forward,US Sassuolo,Italy,£4.50m,loan transfer,Genoa CFC,s_w=w,2020,IT1
2,Alberto Paleari,28,Italy,Goalkeeper,AS Cittadella,Italy,£900Th.,loan transfer,Genoa CFC,s_w=w,2020,IT1
3,Davide Castelli,21,Italy,Centre-Forward,FC Villarreal C,Spain,-,?,Genoa CFC,s_w=w,2020,IT1
4,Mattia Bani,26,Italy,Centre-Back,Bologna FC 1909,Italy,£2.88m,loan transfer,Genoa CFC,s_w=w,2020,IT1
0,Nikola Kalinic,32,Croatia,Centre-Forward,Atlético Madrid,Spain,£4.95m,£1.62m,Hellas Verona,s_w=w,2020,IT1
1,Bruno Amione,18,Argentina,Centre-Back,Club Atlético Belgrano,Argentina,£2.07m,£1.53m,Hellas Verona,s_w=w,2020,IT1
2,Ronaldo Vieira,22,England,Central Midfield,UC Sampdoria,Italy,£5.85m,Loan fee:£675Th.,Hellas Verona,s_w=w,2020,IT1
3,Michele Vano,28,Italy,Centre-Forward,Carpi FC 1909,Italy,£270Th.,£450Th.,Hellas Verona,s_w=w,2020,IT1
4,Bachir Mané,22,Senegal,Defensive Midfield,Carpi FC 1909,Italy,£68Th.,free transfer,Hellas Verona,s_w=w,2020,IT1
5,Federico Ceccherini,28,Italy,Centre-Back,ACF Fiorentina,Italy,£2.25m,loan transfer,Hellas Verona,s_w=w,2020,IT1
6,Daniel Bessa,27,Italy,Central Midfield,Goiás Esporte Clube,Brazil,£2.43m,"End of loanDec 31, 2020",Hellas Verona,s_w=w,2020,IT1
0,Matteo Darmian,30,Italy,Right-Back,Parma Calcio 1913,Italy,£5.85m,loan transfer,Inter Milan,s_w=w,2020,IT1
1,Marco Pompetti,20,Italy,Defensive Midfield,AC Pisa 1909,Italy,£585Th.,"End of loanOct 4, 2020",Inter Milan,s_w=w,2020,IT1
0,Rolando Mandragora,23,Italy,Defensive Midfield,Udinese Calcio,Italy,£10.80m,£9.63m,Juventus FC,s_w=w,2020,IT1
1,Federico Chiesa,22,Italy,Right Winger,ACF Fiorentina,Italy,£43.20m,Loan fee:£9.00m,Juventus FC,s_w=w,2020,IT1
2,Manolo Portanova,20,Italy,Attacking Midfield,Juventus U23,Italy,£540Th.,-,Juventus FC,s_w=w,2020,IT1
0,Mohamed Fares,24,Algeria,Left Midfield,SPAL,Italy,£6.30m,£7.20m,SS Lazio,s_w=w,2020,IT1
1,Wesley Hoedt,26,Netherlands,Centre-Back,Southampton FC,England,£5.85m,Loan fee:£900Th.,SS Lazio,s_w=w,2020,IT1
2,Andreas Pereira,24,Brazil,Attacking Midfield,Manchester United,England,£14.40m,loan transfer,SS Lazio,s_w=w,2020,IT1
3,Joseph Marie Minala,24,Cameroon,Central Midfield,Qingdao Huanghai,China,£585Th.,"End of loanDec 31, 2020",SS Lazio,s_w=w,2020,IT1
0,Jens Petter Hauge,20,Norway,Left Winger,FK Bodø/Glimt,Norway,£900Th.,£4.50m,AC Milan,s_w=w,2020,IT1
1,Diogo Dalot,21,Portugal,Right-Back,Manchester United,England,£10.80m,loan transfer,AC Milan,s_w=w,2020,IT1
0,Tiemoué Bakayoko,26,France,Defensive Midfield,Chelsea FC,England,£22.95m,Loan fee:£1.80m,SSC Napoli,s_w=w,2020,IT1
0,Valentin Mihăilă,20,Romania,Left Winger,Universitatea Craiova,Romania,£2.25m,£7.65m,Parma Calcio 1913,s_w=w,2020,IT1
1,Maxime Busi,20,Belgium,Right-Back,RSC Charleroi,Belgium,£2.25m,£6.75m,Parma Calcio 1913,s_w=w,2020,IT1
2,Yordan Osorio,26,Venezuela,Centre-Back,FC Porto,Portugal,£2.25m,£3.60m,Parma Calcio 1913,s_w=w,2020,IT1
3,Wylan Cyprien,25,France,Central Midfield,OGC Nice,France,£13.05m,Loan fee:£1.35m,Parma Calcio 1913,s_w=w,2020,IT1
4,Juan Brunetta,23,Argentina,Attacking Midfield,Club Deportivo Godoy Cruz Antonio Tomba,Argentina,£2.16m,Loan fee:£900Th.,Parma Calcio 1913,s_w=w,2020,IT1
5,Hans Nicolussi Caviglia,20,Italy,Central Midfield,Juventus FC,Italy,£1.35m,loan transfer,Parma Calcio 1913,s_w=w,2020,IT1
6,Filippo Rinaldi,17,Italy,Goalkeeper,Parma Primavera,Italy,-,-,Parma Calcio 1913,s_w=w,2020,IT1
7,Muhamed Tehe Olawale,21,Cote d'Ivoire,Centre-Forward,Turun Palloseura,Finland,£90Th.,"End of loanDec 31, 2020",Parma Calcio 1913,s_w=w,2020,IT1
0,Chris Smalling,30,England,Centre-Back,Manchester United,England,£18.00m,£13.50m,AS Roma,s_w=w,2020,IT1
1,Borja Mayoral,23,Spain,Centre-Forward,Real Madrid,Spain,£9.00m,Loan fee:£1.80m,AS Roma,s_w=w,2020,IT1
2,Simone Farelli,37,Italy,Goalkeeper,Without Club,Without Club,£45Th.,-,AS Roma,s_w=w,2020,IT1
0,Adrien Silva,31,Portugal,Central Midfield,Leicester City,England,£7.20m,free transfer,UC Sampdoria,s_w=w,2020,IT1
1,Karlo Letica,23,Croatia,Goalkeeper,Club Brugge KV,Belgium,£810Th.,loan transfer,UC Sampdoria,s_w=w,2020,IT1
0,Nicolás Schiappacasse,21,Uruguay,Left Winger,Atlético Madrid B,Spain,£720Th.,£1.17m,US Sassuolo,s_w=w,2020,IT1
1,Maxime López,22,France,Central Midfield,Olympique Marseille,France,£10.80m,loan transfer,US Sassuolo,s_w=w,2020,IT1
2,Raul Steau,19,Romania,Central Midfield,Sassuolo Primavera,Italy,£23Th.,-,US Sassuolo,s_w=w,2020,IT1
0,Léo Sena,24,Brazil,Defensive Midfield,Clube Atlético Mineiro,Brazil,£900Th.,Loan fee:£270Th.,Spezia Calcio,s_w=w,2020,IT1
1,M'Bala Nzola,24,France,Centre-Forward,Trapani Calcio,Italy,£810Th.,free transfer,Spezia Calcio,s_w=w,2020,IT1
2,Ivan Provedel,26,Italy,Goalkeeper,FC Empoli,Italy,£360Th.,?,Spezia Calcio,s_w=w,2020,IT1
0,Federico Bonazzoli,23,Italy,Centre-Forward,UC Sampdoria,Italy,£4.50m,Loan fee:£1.35m,Torino FC,s_w=w,2020,IT1
1,Amer Gojak,23,Bosnia-Herzegovina,Attacking Midfield,GNK Dinamo Zagreb,Croatia,£4.50m,Loan fee:£900Th.,Torino FC,s_w=w,2020,IT1
2,Stefano Cuoco,19,Italy,Defensive Midfield,AC Bra,Italy,£45Th.,"End of loanDec 6, 2020",Torino FC,s_w=w,2020,IT1
0,Jean-Victor Makengo,22,France,Central Midfield,OGC Nice,France,£3.24m,£3.15m,Udinese Calcio,s_w=w,2020,IT1
1,Rolando Mandragora,23,Italy,Defensive Midfield,Juventus FC,Italy,£10.80m,loan transfer,Udinese Calcio,s_w=w,2020,IT1
2,Ignacio Pussetto,24,Argentina,Right Winger,Watford FC,England,£5.85m,loan transfer,Udinese Calcio,s_w=w,2020,IT1
3,Gerard Deulofeu,26,Spain,Left Winger,Watford FC,England,£18.00m,loan transfer,Udinese Calcio,s_w=w,2020,IT1
4,Felipe Vizeu,23,Brazil,Centre-Forward,Ceará Sporting Club,Brazil,£900Th.,"End of loanFeb 1, 2021",Udinese Calcio,s_w=w,2020,IT1
0,Mario Pasalic,25,Croatia,Central Midfield,Chelsea FC,England,£22.50m,£13.50m,Atalanta BC,s_w=s,2020,IT1
1,Aleksey Miranchuk,24,Russia,Attacking Midfield,Lokomotiv Moscow,Russia,£16.20m,£13.05m,Atalanta BC,s_w=s,2020,IT1
2,Sam Lammers,23,Netherlands,Centre-Forward,PSV Eindhoven,Netherlands,£6.30m,£8.10m,Atalanta BC,s_w=s,2020,IT1
3,Simone Muratore,22,Italy,Central Midfield,Juventus FC,Italy,£450Th.,£6.30m,Atalanta BC,s_w=s,2020,IT1
4,Cristian Romero,22,Argentina,Centre-Back,Juventus FC,Italy,£12.60m,Loan fee:£1.80m,Atalanta BC,s_w=s,2020,IT1
5,Fabio Depaoli,23,Italy,Right-Back,UC Sampdoria,Italy,£4.05m,Loan fee:£540Th.,Atalanta BC,s_w=s,2020,IT1
6,Johan Mojica,28,Colombia,Left-Back,Girona FC,Spain,£1.44m,Loan fee:£450Th.,Atalanta BC,s_w=s,2020,IT1
7,Cristiano Piccini,27,Italy,Right-Back,Valencia CF,Spain,£5.40m,loan transfer,Atalanta BC,s_w=s,2020,IT1
8,Amad Diallo,18,Cote d'Ivoire,Right Winger,Atalanta Primavera,Italy,-,-,Atalanta BC,s_w=s,2020,IT1
9,Matteo Ruggeri,18,Italy,Left-Back,Atalanta Primavera,Italy,-,-,Atalanta BC,s_w=s,2020,IT1
10,Matteo Pessina,23,Italy,Central Midfield,Hellas Verona,Italy,£10.80m,"End of loanAug 31, 2020",Atalanta BC,s_w=s,2020,IT1
11,Emmanuel Latte Lath,21,Cote d'Ivoire,Right Winger,US Pianese,Italy,£158Th.,"End of loanJul 1, 2020",Atalanta BC,s_w=s,2020,IT1
12,Isnik Alimi,26,Albania,Central Midfield,Imolese Calcio 1919,Italy,£135Th.,"End of loanJun 30, 2020",Atalanta BC,s_w=s,2020,IT1
13,Tiziano Tulissi,22,Italy,Right Winger,Modena FC 2018,Italy,£225Th.,"End of loanJun 30, 2020",Atalanta BC,s_w=s,2020,IT1
14,Riccardo Gatti,23,Italy,Centre-Back,Alma Juventus Fano 1906,Italy,£135Th.,"End of loanJul 1, 2020",Atalanta BC,s_w=s,2020,IT1
15,Alberto Dossena,21,Italy,Centre-Back,US Alessandria Calcio 1912,Italy,£248Th.,"End of loanAug 31, 2020",Atalanta BC,s_w=s,2020,IT1
16,Marco Carnesecchi,20,Italy,Goalkeeper,Trapani Calcio,Italy,£1.89m,"End of loanAug 31, 2020",Atalanta BC,s_w=s,2020,IT1
17,Lorenzo Peli,20,Italy,Right-Back,Como 1907,Italy,£158Th.,"End of loanJun 30, 2020",Atalanta BC,s_w=s,2020,IT1
18,Matteo Pedrini,20,Italy,Left Winger,AS Giana Erminio,Italy,£45Th.,"End of loanJul 1, 2020",Atalanta BC,s_w=s,2020,IT1
19,Andrea Colpani,21,Italy,Central Midfield,Trapani Calcio,Italy,£720Th.,"End of loanAug 31, 2020",Atalanta BC,s_w=s,2020,IT1
20,Erdis Kraja,19,Albania,Defensive Midfield,Palermo FC,Italy,£45Th.,"End of loanJun 30, 2020",Atalanta BC,s_w=s,2020,IT1
21,Nicolas Haas,24,Switzerland,Central Midfield,Frosinone Calcio,Italy,£1.35m,"End of loanAug 31, 2020",Atalanta BC,s_w=s,2020,IT1
22,Stefano Mazzini,21,Italy,Goalkeeper,Piacenza Calcio 1919,Italy,£135Th.,"End of loanJun 30, 2020",Atalanta BC,s_w=s,2020,IT1
23,Alessandro Eleuteri,22,Italy,Right-Back,US Alessandria Calcio 1912,Italy,£180Th.,"End of loanAug 30, 2020",Atalanta BC,s_w=s,2020,IT1
24,Gaetano Monachello,26,Italy,Centre-Forward,Venezia FC,Italy,£270Th.,"End of loanAug 31, 2020",Atalanta BC,s_w=s,2020,IT1
25,Fabio Eguelfi,25,Italy,Left-Back,Feralpisalò,Italy,£270Th.,"End of loanAug 31, 2020",Atalanta BC,s_w=s,2020,IT1
26,Eyob Zambataro,21,Italy,Left-Back,Ravenna FC,Italy,£180Th.,"End of loanJul 1, 2020",Atalanta BC,s_w=s,2020,IT1
27,Alessandro Pavan,20,Italy,Goalkeeper,Virtus Ciserano Bergamo 1909,Italy,-,"End of loanJun 30, 2020",Atalanta BC,s_w=s,2020,IT1
28,Davide Ghidini,22,Italy,Central Midfield,USD Caravaggio,Italy,£45Th.,"End of loanJun 30, 2020",Atalanta BC,s_w=s,2020,IT1
29,Arkadiusz Reca,25,Poland,Left Midfield,SPAL,Italy,£2.16m,"End of loanAug 31, 2020",Atalanta BC,s_w=s,2020,IT1
30,Gianluca Mancini,24,Italy,Centre-Back,AS Roma,Italy,£19.80m,"End of loanAug 31, 2020",Atalanta BC,s_w=s,2020,IT1
31,Marco Tumminello,21,Italy,Centre-Forward,Delfino Pescara 1936,Italy,£1.08m,"End of loanAug 31, 2020",Atalanta BC,s_w=s,2020,IT1
32,Boris Radunović,24,Serbia,Goalkeeper,Hellas Verona,Italy,£405Th.,"End of loanAug 31, 2020",Atalanta BC,s_w=s,2020,IT1
33,Christian Mora,22,Italy,Right-Back,AS Cittadella,Italy,£225Th.,"End of loanAug 31, 2020",Atalanta BC,s_w=s,2020,IT1
34,Etrit Berisha,31,Albania,Goalkeeper,SPAL,Italy,£2.16m,"End of loanAug 31, 2020",Atalanta BC,s_w=s,2020,IT1
35,Enrico Zanoni,20,Italy,Left-Back,AS Gubbio 1910,Italy,£68Th.,"End of loanJun 30, 2020",Atalanta BC,s_w=s,2020,IT1
36,Stefano Marchetti,22,Italy,Centre-Back,AC Renate,Italy,£68Th.,"End of loanAug 31, 2020",Atalanta BC,s_w=s,2020,IT1
37,Marco Carraro,22,Italy,Defensive Midfield,AC Perugia Calcio,Italy,£1.26m,"End of loanAug 31, 2020",Atalanta BC,s_w=s,2020,IT1
38,Davide Bettella,20,Italy,Centre-Back,Delfino Pescara 1936,Italy,£1.80m,"End of loanAug 31, 2020",Atalanta BC,s_w=s,2020,IT1
